scope,label,patch,side,tier,rank_in_tier,champ,role,elo_pp,impact_pp,tier_score,counterability_tax,n,raw_wr,archetype,cb_score,cb_label,obj_pp,fight_pp,lane_pp,vision_pp,tower_pp,lambda,why
lcs,LCS,16.11,blue,A,1,Lucian,bot,0.83,0.0,0.56,0.28,4,75.0,,,,,,,,,0.55,"Elo-ctrl +0.8pp → tier_score +0.6pp (cb tax −0.3; impact +0.00pp clipped±4.0); Blind: unknown counterability — mild safety tax; cb unknown → prior 45; thin sample — provisional; mostly bot; n=4, raw 75%"
lcs,LCS,16.11,blue,A,2,Milio,sup,0.83,0.0,0.56,0.28,4,75.0,,,,,,,,,0.55,"Elo-ctrl +0.8pp → tier_score +0.6pp (cb tax −0.3; impact +0.00pp clipped±4.0); Blind: unknown counterability — mild safety tax; cb unknown → prior 45; thin sample — provisional; mostly sup; n=4, raw 75%"
lcs,LCS,16.11,blue,F,1,Rumble,top,-1.27,0.0,-1.55,0.28,5,60.0,,,,0.0,0.0,0.0,0.0,0.0,0.55,"Elo-ctrl -1.3pp → tier_score -1.5pp (cb tax −0.3; impact +0.00pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses +0.00pp (fight 0.0; lane 0.0; vision 0.0; tower 0.0; obj 0.0); cb unknown → prior 45; thin sample — provisional; flex top:5,jng:1; n=5, raw 60%"
lcs,LCS,16.11,red,S Blind,1,Rakan,sup,2.05,0.0,1.78,0.28,4,50.0,Blind,,,0.0,0.0,0.0,0.0,0.0,0.55,"Elo-ctrl +2.1pp → tier_score +1.8pp (cb tax −0.3; impact +0.00pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses +0.00pp (fight 0.0; lane 0.0; vision 0.0; tower 0.0; obj 0.0); cb unknown → prior 45; thin sample — provisional; mostly sup; n=4, raw 50%"
lcs,LCS,16.11,red,A,1,Xin Zhao,jng,-0.04,0.0,-0.31,0.28,4,25.0,,,,,,,,,0.55,"Elo-ctrl -0.0pp → tier_score -0.3pp (cb tax −0.3; impact +0.00pp clipped±4.0); Blind: unknown counterability — mild safety tax; cb unknown → prior 45; thin sample — provisional; flex jng:3,mid:1; n=4, raw 25%"
lcs,LCS,16.11,red,B,1,Nautilus,sup,-0.37,0.0,-0.65,0.28,4,25.0,,,,0.0,0.0,0.0,0.0,0.0,0.55,"Elo-ctrl -0.4pp → tier_score -0.6pp (cb tax −0.3; impact +0.00pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses +0.00pp (fight 0.0; lane 0.0; vision 0.0; tower 0.0; obj 0.0); cb unknown → prior 45; thin sample — provisional; mostly sup; n=4, raw 25%"
lcs,LCS,16.11,red,D,1,Sion,top,-0.57,0.0,-0.84,0.28,5,20.0,,,,0.0,0.0,0.0,0.0,0.0,0.55,"Elo-ctrl -0.6pp → tier_score -0.8pp (cb tax −0.3; impact +0.00pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses +0.00pp (fight 0.0; lane 0.0; vision 0.0; tower 0.0; obj 0.0); cb unknown → prior 45; thin sample — provisional; mostly top; n=5, raw 20%"
lcs,LCS,16.11,red,F,1,Jarvan IV,jng,-0.59,0.0,-0.87,0.28,5,20.0,,,,0.0,0.0,0.0,0.0,0.0,0.55,"Elo-ctrl -0.6pp → tier_score -0.9pp (cb tax −0.3; impact +0.00pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses +0.00pp (fight 0.0; lane 0.0; vision 0.0; tower 0.0; obj 0.0); cb unknown → prior 45; thin sample — provisional; mostly jng; n=5, raw 20%"
